CopyNumber,PercentMatches,FullLength,ConsensusLength,fr_A_cons,fr_T_cons,fr_G_cons,fr_C_cons,fr_A_repeat,fr_T_repeat,fr_G_repeat,fr_C_repeat,RepeatsNumber
8.7,100,95,11,5,5,0,1,44,44,0,8,5
4.2,97,96,23,10,7,3,3,42,28,14,13,5
2.4,81,42,17,8,6,1,2,19,15,3,6,5
27,100,53,2,1,1,0,0,27,27,0,0,5
29,100,57,2,1,1,0,0,29,29,0,0,5
2.5,88,38,15,5,2,0,8,12,5,0,22,3
1.8,85,145,79,40,24,7,8,67,49,15,15,3
5.2,98,61,12,3,1,2,6,16,5,11,30,3
29.1,99,319,11,5,1,3,2,146,22,87,65,1
4.5,94,48,11,7,0,1,3,32,2,4,11,5
2,93,28,15,4,3,4,4,8,6,7,8,5
2,86,42,22,9,6,1,6,17,12,3,11,5
3.2,91,34,11,4,3,1,3,12,11,3,9,5
4.2,97,45,11,7,1,1,2,30,3,4,9,5
2.5,94,58,24,9,15,0,0,24,35,0,0,6
4.9,99,428,87,23,23,17,24,113,113,84,119,6
3,86,43,15,7,8,0,0,22,22,0,0,6
3.2,87,44,13,7,6,0,0,23,22,0,0,6
2.6,92,59,23,8,15,0,0,24,36,0,0,6
1.9,88,32,17,2,14,0,1,5,27,0,1,6
12.5,91,99,8,3,1,1,3,38,11,12,39,2
12.6,100,125,10,4,2,1,3,50,25,13,38,2
2.1,93,30,15,6,7,0,2,12,15,1,3,1
8.7,86,609,72,28,27,8,9,239,230,65,76,3
19.3,84,608,32,12,12,4,4,238,230,65,76,3
4.7,83,44,10,4,5,0,1,18,22,0,5,3
13.3,100,809,61,22,20,5,14,291,266,66,187,1
8.3,100,503,61,23,16,6,16,190,133,48,133,1
2,100,236,118,42,31,23,22,84,62,46,45,3
5.2,98,422,81,33,30,5,13,172,161,27,63,3
47.8,100,286,6,2,1,1,2,96,47,48,96,3
2.8,97,169,60,19,11,13,17,57,33,29,50,3
3.4,90,193,55,20,10,8,17,69,38,30,56,3
18.8,100,224,12,9,1,0,2,169,18,0,38,3
2.2,86,38,18,9,1,3,5,19,3,5,12,3
2.5,88,41,17,6,3,2,6,12,7,6,17,3
3.1,86,52,17,5,3,3,6,15,9,8,21,3
3.4,98,157,46,19,16,4,7,65,55,14,24,3
5.2,62,122,25,11,8,2,4,52,41,10,20,3
3.6,100,35,10,5,5,0,0,18,18,0,0,3
40.5,92,323,8,3,1,1,3,108,40,54,122,1
34.4,93,274,8,3,1,1,3,93,35,44,103,1
18.6,100,259,14,5,2,2,5,93,37,37,93,1
53.9,75,409,8,3,1,1,3,127,75,78,130,3
21.1,88,419,20,7,3,3,7,130,77,80,133,3
36.5,79,414,12,4,2,2,4,128,76,80,131,3
41.2,80,278,6,2,1,1,2,98,42,41,98,3
18.7,87,261,14,5,2,2,5,93,38,38,93,3
12.6,84,263,20,7,3,3,7,93,39,39,93,3
2.9,75,51,18,8,7,1,2,22,22,3,5,1
1.9,88,34,18,4,2,4,8,8,6,7,14,1
10,99,966,97,42,35,8,12,421,346,80,120,4
10,99,966,97,42,35,8,12,421,346,80,120,4
8,99,779,97,42,35,8,12,341,279,64,96,4
8,99,779,97,42,35,8,12,341,279,64,96,4
1.9,88,34,18,8,6,0,4,13,13,0,9,1
1.9,94,115,61,22,25,6,8,42,47,10,17,2
2.3,86,36,17,11,4,1,1,25,8,1,3,2
2.7,100,251,93,37,32,10,14,97,89,27,39,2
2,83,46,24,16,6,1,1,30,12,2,3,2
1.9,84,39,21,4,7,4,6,7,15,7,11,1
2.6,80,38,15,2,7,0,6,4,18,0,17,1
2,85,39,20,7,4,2,7,13,9,4,14,1
2.6,89,206,79,30,29,4,16,73,75,11,45,3
12.2,97,72,6,2,1,1,2,23,12,13,25,3
2.4,93,162,66,25,32,6,3,65,73,16,9,3
2.3,85,47,21,1,15,2,3,3,34,4,7,4
3.8,93,38,10,1,6,1,2,3,25,4,7,4
3.5,92,37,11,1,7,1,2,3,26,3,6,4
1.9,88,37,20,2,14,1,3,3,28,2,5,4
1.9,84,38,20,9,6,3,2,17,11,8,3,3
9.4,97,289,30,11,6,4,9,108,65,37,80,3
35.9,88,278,8,3,2,1,2,104,63,36,76,3
2.2,85,37,18,0,6,2,10,0,14,3,21,1
4,95,399,100,27,23,17,33,107,93,72,128,5
7.1,75,356,50,15,9,8,18,97,83,60,117,5
2.2,96,103,47,17,18,2,10,37,42,4,21,5
2.4,91,113,47,18,16,2,11,40,44,5,25,5
3.3,68,75,23,9,8,1,5,28,29,3,16,5
2.3,94,33,15,10,2,1,2,22,5,2,5,7
2.6,94,29,12,9,3,0,0,22,8,0,0,7
1.9,98,436,234,79,103,32,20,152,187,60,38,7
3.7,98,436,117,40,51,16,10,152,187,60,38,7
3,84,36,12,1,9,2,0,4,28,5,0,7
3,84,36,12,1,9,2,0,4,28,5,0,7
3,84,36,12,1,9,2,0,4,28,5,0,7
2,81,57,30,11,12,1,6,19,25,2,12,2
2.6,96,88,34,4,13,6,11,11,34,15,29,2
